"FRECUENCIA","TRIMESTRAL","TRIMESTRAL","TRIMESTRAL","TRIMESTRAL","TRIMESTRAL","TRIMESTRAL","TRIMESTRAL","TRIMESTRAL","TRIMESTRAL","TRIMESTRAL","TRIMESTRAL"
"SEP 2012",1.10,0.90,4.00,0.90,5.20,0.60,22.60,-0.90,-0.80,1.10,1.20
"DIC 2012",1.40,2.00,-0.80,1.60,1.20,0.20,17.70,1.10,-2.50,1.40,-2.50
"MAR 2013",-0.10,0.50,-1.50,-0.20,3.90,-1.90,18.00,-1.60,1.70,-0.10,1.30
"JUN 2013",0.10,0.00,-1.80,0.40,2.20,0.10,19.10,-1.00,-1.80,0.10,2.20
"SEP 2013",0.60,0.20,-0.50,1.00,4.70,1.00,20.60,-0.80,-3.00,0.60,1.50
"DIC 2013",1.40,2.20,-1.60,1.60,8.90,-1.60,18.10,0.50,0.10,1.40,1.30
"MAR 2014",0.00,1.10,0.00,-0.40,3.70,-0.30,11.40,-2.00,1.70,0.00,-0.20
"JUN 2014",0.80,1.20,0.60,0.70,2.50,1.40,11.50,-0.60,0.90,0.80,1.60
"SEP 2014",1.20,0.20,2.10,1.50,6.10,1.80,15.10,-0.10,-2.30,1.20,0.50
"DIC 2014",1.50,1.20,-4.80,2.30,5.70,0.50,11.50,1.70,3.50,1.50,-1.80
"MAR 2015",0.70,0.30,5.10,0.20,6.90,-0.40,12.30,-1.50,3.90,0.70,2.10
"JUN 2015",1.30,0.60,6.90,1.00,5.80,1.70,12.10,-0.70,4.30,1.30,5.20
"SEP 2015",1.30,1.10,5.50,1.00,6.30,2.60,13.20,-1.00,-1.80,1.30,5.60
"DIC 2015",1.80,1.80,3.30,1.70,6.70,0.60,14.70,0.50,-1.10,1.80,0.10
"MAR 2016",0.50,0.40,3.80,0.00,7.30,-0.10,12.30,-2.00,1.20,0.50,1.70
"JUN 2016",1.80,2.00,6.60,1.30,6.60,2.20,16.10,-0.90,0.30,1.80,6.70
"SEP 2016",2.40,1.70,6.20,2.20,9.40,3.90,16.60,-0.40,0.20,2.40,5.00
"DIC 2016",3.30,2.50,8.60,2.80,11.90,1.80,16.30,0.70,10.20,3.30,3.00
"MAR 2017",0.80,0.20,6.00,0.40,5.80,0.70,13.00,-1.60,-0.30,0.80,2.00
"JUN 2017",1.90,1.80,4.60,1.50,5.50,3.20,15.90,-0.80,3.50,1.90,7.00
"SEP 2017",2.60,1.00,6.40,2.80,12.50,4.70,14.60,-0.40,-0.80,2.60,5.80
"DIC 2017",3.40,2.40,8.90,3.20,9.10,2.50,15.80,1.40,2.60,3.40,4.10
